Term	Genes	FDR	Category	Description
GO:0050793	MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	2.61e-33	Process	Regulation of developmental process
GO:0010941	FGF4,NFKB1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,KRAS,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.49e-33	Process	Regulation of cell death
GO:0010604	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.55e-33	Process	Positive regulation of macromolecule metabolic process
GO:0071310	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,BMP4,SOX9,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1,MYC,SHFM1	3.95e-33	Process	Cellular response to organic substance
GO:0045165	NANOG,BMP4,SOX9,JAG1,POU5F1,SMAD2,WNT5A,STAT3,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,WT1,SMAD4,CTNNB1,MTOR,RUNX2,KLF4,TGFBR1,BMP2,BCL2,RHOA,PAX6	5.99e-33	Process	Cell fate commitment
GO:0051173	FGF4,MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	5.99e-33	Process	Positive regulation of nitrogen compound metabolic process
GO:0060429	MAPK1,CCND1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,SMAD2,WNT5A,LEF1,CDH2,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,CASP3,HNF4A,FGF8,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,JUN,SRC,DKK1,KLF4,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	6.3e-33	Process	Epithelium development
GO:0070887	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,BMP4,SOX9,PXDN,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,PXDNL,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1,MYC,SHFM1	1.17e-32	Process	Cellular response to chemical stimulus
GO:0010628	FGF4,MAPK1,NFKB1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.54e-32	Process	Positive regulation of gene expression
GO:0010033	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1,MYC,SHFM1	5.69e-32	Process	Response to organic substance
GO:0048513	FGF4,MAPK1,CCND1,GLI1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	5.74e-32	Process	Animal organ development
GO:0031325	FGF4,MAPK1,NFKB1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	8.11e-32	Process	Positive regulation of cellular metabolic process
GO:0042981	FGF4,NFKB1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,KRAS,WNT5A,LEF1,IGF1R,TP53,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,CASP3,FGF8,SOX2,GSK3B,WT1,SMAD3,CTNNB1,NF1,MTOR,NES,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC	4e-31	Process	Regulation of apoptotic process
GO:0009719	FGF4,MAPK1,NFKB1,CCND1,BMP4,SOX9,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,PPARG,WNT1,WNT10B,FOS,CASP3,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,AKT1	4.53e-31	Process	Response to endogenous stimulus
GO:0048869	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1	6.13e-31	Process	Cellular developmental process
GO:0008284	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,LEF1,IGF1R,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SMAD4,CTNNB1,NF1,MTOR,NES,JUN,RUNX2,PTEN,TGFBR1,BMP2,CCK,BCL2,FGFR1,PAX6,ESR1,HIF1A,AKT1,MYC	1.18e-30	Process	Positive regulation of cell population proliferation
GO:0071495	FGF4,MAPK1,NFKB1,BMP4,SOX9,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,PPARG,WNT1,WNT10B,FOS,CASP3,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,FGFR1,RHOA,ESR1,AKT1	1.18e-30	Process	Cellular response to endogenous stimulus
GO:0051240	MAPK1,NFKB1,CCND1,GLI1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,FGF8,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A,AKT1,MYC	4.98e-30	Process	Positive regulation of multicellular organismal process
GO:0051093	MAPK1,CCND1,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,PTEN,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,RHOA,PAX6,CDKN2A,HIF1A,MYC	1.26e-29	Process	Negative regulation of developmental process
GO:0045893	FGF4,MAPK1,NFKB1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BMP2,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.77e-29	Process	Positive regulation of transcription, DNA-templated
GO:0070848	FGF4,MAPK1,TWIST1,BMP4,SOX9,POU5F1,SMAD2,MAPK3,WNT5A,LEF1,TP53,ERBB2,NOTCH1,FOS,CASP3,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,FGFR1,RHOA,AKT1,MYC	8.39e-29	Process	Response to growth factor
GO:0022008	MAPK1,TWIST1,BMP4,SOX9,JAG1,KRAS,CDH1,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,GSK3B,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A,AKT1	1.03e-28	Process	Neurogenesis
GO:0010557	FGF4,MAPK1,NFKB1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BMP2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.12e-28	Process	Positive regulation of macromolecule biosynthetic process
GO:0030154	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1	1.12e-28	Process	Cell differentiation
GO:0048699	MAPK1,TWIST1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,FGF8,SOX2,GSK3B,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A,AKT1	1.18e-28	Process	Generation of neurons
GO:0065009	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.45e-28	Process	Regulation of molecular function
GO:0060485	MAPK1,TWIST1,SNAI1,BMP4,SOX9,JAG1,SMAD2,MAPK3,WNT5A,LEF1,NOTCH1,WNT3A,SHH,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,HIF1A	2.48e-28	Process	Mesenchyme development
GO:0050678	CCND1,GLI1,TWIST1,BMP4,SOX9,WNT5A,STAT3,ERBB2,NOTCH1,WNT3A,PPARG,SHH,WNT10B,SOX2,SMAD3,CTNNB1,NF1,MTOR,JUN,PTEN,TGFBR1,BMP2,SNAI2,FGFR1,PAX6,HIF1A,AKT1,MYC	3.68e-28	Process	Regulation of epithelial cell proliferation
GO:0060548	FGF4,NFKB1,TWIST1,SNAI1,BMP4,SOX9,KRAS,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,WNT3A,WNT1,ANXA5,SHH,CASP3,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,MTOR,NES,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,SNAI2,BCL2,RHOA,HIF1A,AKT1,MYC	3.72e-28	Process	Negative regulation of cell death
GO:0048729	TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,SMAD2,WNT5A,LEF1,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,ACTB,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,HIF1A,MYC	4.89e-28	Process	Tissue morphogenesis
GO:2000027	GLI1,TWIST1,BMP4,SOX9,JAG1,POU5F1,WNT5A,NOTCH1,WNT3A,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,RUNX2,DKK1,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,MYC,SHFM1	4.89e-28	Process	Regulation of animal organ morphogenesis
GO:0035295	MAPK1,GLI1,TWIST1,BMP4,SOX9,JAG1,KRAS,SMAD2,MAPK3,WNT5A,LEF1,CDH2,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,JUN,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1,MYC	6.74e-28	Process	Tube development
GO:0031328	FGF4,MAPK1,NFKB1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BMP2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	7.78e-28	Process	Positive regulation of cellular biosynthetic process
GO:0009966	FGF4,MAPK1,NFKB1,GLI1,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.15e-27	Process	Regulation of signal transduction
GO:0042221	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,PXDNL,ACTB,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,HIF1A,AKT1,MYC,SHFM1	1.15e-27	Process	Response to chemical
GO:0009967	FGF4,MAPK1,NFKB1,GLI1,BMP4,SOX9,JAG1,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,SHFM1	1.22e-27	Process	Positive regulation of signal transduction
GO:0051241	NFKB1,TWIST1,SNAI1,BMP4,SOX9,JAG1,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,ANXA5,SHH,WNT10B,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,PTEN,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,HIF1A,MYC	1.46e-27	Process	Negative regulation of multicellular organismal process
GO:0010646	FGF4,MAPK1,NFKB1,GLI1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.77e-27	Process	Regulation of cell communication
GO:0035239	GLI1,TWIST1,BMP4,SOX9,JAG1,KRAS,SMAD2,WNT5A,LEF1,CDH2,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,JUN,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,HIF1A,AKT1,MYC	1.77e-27	Process	Tube morphogenesis
